Candidato,2023-10-08 20:30:00-03:00,2023-10-08 20:31:00-03:00,2023-10-08 20:32:00-03:00,2023-10-08 20:33:00-03:00,2023-10-08 20:34:00-03:00,2023-10-08 20:35:00-03:00,2023-10-08 20:36:00-03:00,2023-10-08 20:37:00-03:00,2023-10-08 20:38:00-03:00,2023-10-08 20:39:00-03:00,2023-10-08 20:40:00-03:00,2023-10-08 20:41:00-03:00,2023-10-08 20:42:00-03:00,2023-10-08 20:43:00-03:00,2023-10-08 20:44:00-03:00,2023-10-08 20:45:00-03:00,2023-10-08 20:46:00-03:00,2023-10-08 20:47:00-03:00,2023-10-08 20:48:00-03:00,2023-10-08 20:49:00-03:00,2023-10-08 20:50:00-03:00,2023-10-08 20:51:00-03:00,2023-10-08 20:52:00-03:00,2023-10-08 20:53:00-03:00,2023-10-08 20:54:00-03:00,2023-10-08 20:55:00-03:00,2023-10-08 20:56:00-03:00,2023-10-08 20:57:00-03:00,2023-10-08 20:58:00-03:00,2023-10-08 20:59:00-03:00,2023-10-08 21:00:00-03:00,2023-10-08 21:01:00-03:00,2023-10-08 21:02:00-03:00,2023-10-08 21:03:00-03:00,2023-10-08 21:04:00-03:00,2023-10-08 21:05:00-03:00,2023-10-08 21:06:00-03:00,2023-10-08 21:07:00-03:00,2023-10-08 21:08:00-03:00,2023-10-08 21:09:00-03:00,2023-10-08 21:10:00-03:00,2023-10-08 21:11:00-03:00,2023-10-08 21:12:00-03:00,2023-10-08 21:13:00-03:00,2023-10-08 21:14:00-03:00,2023-10-08 21:15:00-03:00,2023-10-08 21:16:00-03:00,2023-10-08 21:17:00-03:00,2023-10-08 21:18:00-03:00,2023-10-08 21:19:00-03:00,2023-10-08 21:20:00-03:00,2023-10-08 21:21:00-03:00,2023-10-08 21:22:00-03:00,2023-10-08 21:23:00-03:00,2023-10-08 21:24:00-03:00,2023-10-08 21:25:00-03:00,2023-10-08 21:26:00-03:00,2023-10-08 21:27:00-03:00,2023-10-08 21:28:00-03:00,2023-10-08 21:29:00-03:00,2023-10-08 21:30:00-03:00,2023-10-08 21:31:00-03:00,2023-10-08 21:32:00-03:00,2023-10-08 21:33:00-03:00,2023-10-08 21:34:00-03:00,2023-10-08 21:35:00-03:00,2023-10-08 21:36:00-03:00,2023-10-08 21:37:00-03:00,2023-10-08 21:38:00-03:00,2023-10-08 21:39:00-03:00,2023-10-08 21:40:00-03:00,2023-10-08 21:41:00-03:00,2023-10-08 21:42:00-03:00,2023-10-08 21:43:00-03:00,2023-10-08 21:44:00-03:00,2023-10-08 21:45:00-03:00,2023-10-08 21:46:00-03:00,2023-10-08 21:47:00-03:00,2023-10-08 21:48:00-03:00,2023-10-08 21:49:00-03:00,2023-10-08 21:50:00-03:00,2023-10-08 21:51:00-03:00,2023-10-08 21:52:00-03:00,2023-10-08 21:53:00-03:00,2023-10-08 21:54:00-03:00,2023-10-08 21:55:00-03:00,2023-10-08 21:56:00-03:00,2023-10-08 21:57:00-03:00,2023-10-08 21:58:00-03:00,2023-10-08 21:59:00-03:00,2023-10-08 22:00:00-03:00,2023-10-08 22:01:00-03:00,2023-10-08 22:02:00-03:00,2023-10-08 22:03:00-03:00,2023-10-08 22:04:00-03:00,2023-10-08 22:05:00-03:00,2023-10-08 22:06:00-03:00,2023-10-08 22:07:00-03:00,2023-10-08 22:08:00-03:00,2023-10-08 22:09:00-03:00,2023-10-08 22:10:00-03:00,2023-10-08 22:11:00-03:00,2023-10-08 22:12:00-03:00,2023-10-08 22:13:00-03:00,2023-10-08 22:14:00-03:00,2023-10-08 22:15:00-03:00,2023-10-08 22:16:00-03:00,2023-10-08 22:17:00-03:00,2023-10-08 22:18:00-03:00,2023-10-08 22:19:00-03:00,2023-10-08 22:20:00-03:00,2023-10-08 22:21:00-03:00,2023-10-08 22:22:00-03:00,2023-10-08 22:23:00-03:00,2023-10-08 22:24:00-03:00,2023-10-08 22:25:00-03:00,2023-10-08 22:26:00-03:00,2023-10-08 22:27:00-03:00,2023-10-08 22:28:00-03:00,2023-10-08 22:29:00-03:00,2023-10-08 22:30:00-03:00,2023-10-08 22:31:00-03:00,2023-10-08 22:32:00-03:00,2023-10-08 22:33:00-03:00,2023-10-08 22:34:00-03:00,2023-10-08 22:35:00-03:00,2023-10-08 22:36:00-03:00,2023-10-08 22:37:00-03:00,2023-10-08 22:38:00-03:00,2023-10-08 22:39:00-03:00,2023-10-08 22:40:00-03:00,2023-10-08 22:41:00-03:00,2023-10-08 22:42:00-03:00,2023-10-08 22:43:00-03:00,2023-10-08 22:44:00-03:00,2023-10-08 22:45:00-03:00,2023-10-08 22:46:00-03:00,2023-10-08 22:47:00-03:00,2023-10-08 22:48:00-03:00,2023-10-08 22:49:00-03:00,2023-10-08 22:50:00-03:00,2023-10-08 22:51:00-03:00,2023-10-08 22:52:00-03:00,2023-10-08 22:53:00-03:00,2023-10-08 22:54:00-03:00,2023-10-08 22:55:00-03:00,2023-10-08 22:56:00-03:00,2023-10-08 22:57:00-03:00,2023-10-08 22:58:00-03:00,2023-10-08 22:59:00-03:00,2023-10-08 23:00:00-03:00,2023-10-08 23:01:00-03:00,2023-10-08 23:02:00-03:00,2023-10-08 23:03:00-03:00,2023-10-08 23:04:00-03:00,2023-10-08 23:05:00-03:00,2023-10-08 23:06:00-03:00,2023-10-08 23:07:00-03:00,2023-10-08 23:08:00-03:00,2023-10-08 23:09:00-03:00,2023-10-08 23:10:00-03:00,2023-10-08 23:11:00-03:00,2023-10-08 23:12:00-03:00,2023-10-08 23:13:00-03:00,2023-10-08 23:14:00-03:00,2023-10-08 23:15:00-03:00,2023-10-08 23:16:00-03:00,2023-10-08 23:17:00-03:00
Javier Milei,6,9,9,8,7,7,8,9,9,8,11,8,8,11,7,5,7,4,4,8,10,11,12,8,8,7,12,12,8,11,10,8,9,9,8,15,20,12,15,11,10,14,9,8,10,7,13,15,9,11,11,14,10,11,8,12,16,32,36,48,48,35,30,25,22,24,17,14,16,11,12,17,18,15,13,16,14,26,43,28,20,24,30,37,31,23,22,22,23,30,18,22,23,20,26,22,24,15,15,16,17,13,14,17,14,30,32,26,43,30,24,27,21,23,33,28,18,28,30,19,24,23,33,25,17,25,27,21,22,19,18,19,14,21,22,27,31,32,27,25,24,24,25,21,22,16,17,33,25,26,21,27,25,23,19,24,22,23,25,26,23,19,27,19,20,23,18,20
Juan Schiaretti,2,2,3,1,2,2,1,4,4,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,3,2,2,2,1,1,3,2,1,13,42,9,7,5,5,4,6,19,37,13,49,100,99,35,15,11,23,19,17,12,11,28,54,24,80,94,56,31,19,17,30,32,18,13,55,45,42,28,23,17,19,12,8,4,10,12,11,12,14,12,14,12,11,10,11,10,7,7,10,9,11,6,6,3,8,7,7,7,6,4,3,9,26,85,82,45,23,46,22,15,36,40,25,41,25,46,24,53,40,34,30,19,8,11,35,27,15,26,30,22,17,16,18,11,12,10,10,11,11,11,31,81,34,20,17,14,13,11,12,12,12,14,12,7,6,10,8,14,7,8
Myriam Bregman,3,2,1,1,1,1,1,1,2,2,2,0,1,0,2,1,1,1,2,1,2,1,2,0,1,4,3,2,3,4,3,1,1,2,4,5,2,3,2,3,35,33,14,9,9,20,13,7,11,10,13,11,6,8,64,94,49,24,16,10,13,23,24,16,14,15,20,25,13,10,11,8,9,8,17,68,51,28,19,19,16,14,15,14,10,14,13,11,14,22,13,11,14,12,11,10,12,8,15,11,8,35,23,45,46,22,17,31,20,12,14,21,14,14,8,11,29,21,21,23,14,30,48,26,26,19,14,30,36,20,20,20,15,14,23,31,21,19,12,17,13,10,9,11,6,16,32,15,16,17,13,11,19,13,10,14,12,11,13,16,23,26,24,21,11,17,13,12
Patricia Bullrich,2,3,2,4,1,3,2,2,2,2,4,1,3,1,2,2,2,2,4,3,2,1,4,3,4,3,3,2,2,3,3,2,2,2,3,4,2,8,7,4,4,4,7,18,18,14,12,18,41,26,20,15,11,15,41,28,17,12,12,16,14,11,12,15,12,13,10,6,6,11,16,13,8,8,6,11,8,10,9,7,5,5,17,24,17,13,12,11,9,16,15,9,10,9,12,11,10,10,11,10,9,6,18,11,12,8,8,7,18,27,37,29,17,14,27,27,17,13,11,7,8,12,11,24,19,20,18,22,16,19,13,18,14,15,22,16,13,14,13,16,12,13,11,14,14,12,9,17,37,23,19,15,13,13,12,11,10,12,11,8,10,11,11,14,9,13,14,10
Sergio Massa,1,2,2,2,4,1,3,3,1,1,2,3,1,1,2,2,3,1,2,1,2,3,4,3,2,2,2,3,2,3,4,3,2,1,1,3,2,2,8,13,11,6,5,6,3,4,3,11,14,9,21,28,19,26,19,16,13,11,7,7,10,8,12,15,22,27,24,16,17,26,19,19,24,20,20,18,10,12,14,9,4,13,18,13,12,18,10,11,13,11,10,11,14,9,13,11,13,8,13,19,21,18,14,14,14,9,11,9,6,12,8,16,14,13,8,9,11,25,24,14,17,20,15,12,11,11,15,16,11,19,12,6,12,24,23,27,19,15,14,16,13,15,13,10,11,10,9,9,11,19,30,17,14,14,15,12,11,13,10,10,13,10,11,10,12,11,10,12
